event, id, x, y
0,115,71,3
0,115,71,4
0,115,72,3
0,115,72,4
0,371,80,2
0,371,81,3
0,371,80,3
0,371,80,4
0,380,990,502
0,627,84,2
0,627,85,2
1,121,952,6
1,121,953,6
1,121,953,7
1,121,952,7
1,377,942,8
1,377,943,8
1,377,943,9
1,377,942,9
1,380,990,502
1,633,935,7
1,633,934,7
1,633,934,8
1,633,935,8
1,633,935,9
1,633,934,9
2,115,32,38
2,115,33,38
2,115,33,39
2,115,32,39
2,371,41,38
2,371,41,39
2,371,42,38
2,371,42,39
2,380,990,502
2,627,48,40
2,627,49,40
2,627,48,41
3,122,13,262
3,122,13,263
3,122,14,262
3,122,14,263
3,378,4,266
3,378,5,266
3,378,5,267
3,378,4,267
3,380,990,502
4,122,44,233
4,122,44,234
4,122,45,234
4,378,32,252
4,378,33,252
4,378,33,253
4,378,32,253
4,380,990,502
4,634,22,270
4,634,23,271
4,634,22,271
5,114,890,2
5,114,891,2
5,114,891,3
5,114,890,3
5,114,893,1
5,114,892,2
5,114,893,2
5,114,893,3
5,114,892,3
5,114,894,1
5,114,894,2
5,114,894,3
5,114,896,2
5,114,897,2
5,114,897,3
5,114,896,3
5,114,896,4
5,114,897,4
5,370,897,1
5,370,897,2
5,370,898,1
5,370,898,2
5,380,990,502
5,626,903,1
5,626,902,1
5,626,902,2
5,626,903,2
6,115,3,80
6,115,3,81
6,115,4,80
6,371,13,80
6,371,13,81
6,371,12,81
6,380,990,502
6,627,23,83
6,627,22,83
7,120,122,35
7,122,3,438
7,122,3,439
7,380,990,502
7,633,1021,448
7,633,1021,449
7,633,1020,449
7,633,1021,450
7,633,1022,448
7,633,1023,449
7,633,1022,449
7,633,1022,450
8,114,1003,0
8,114,1003,1
8,114,1004,1
8,114,1004,2
8,114,1005,2
8,114,1005,3
8,114,1004,3
8,114,1004,4
8,114,1005,4
8,114,1006,3
8,114,1006,4
8,380,990,502
9,115,24,111
9,115,24,112
9,371,32,110
9,371,33,110
9,371,33,111
9,371,32,111
9,380,990,502
9,627,39,111
9,627,39,112
9,627,40,111
9,627,40,112
10,122,77,121
10,122,76,121
10,122,76,122
10,122,77,122
10,378,68,122
10,378,69,122
10,378,69,123
10,378,68,123
10,380,990,502
10,634,62,124
10,634,63,124
10,634,63,125
