# event_count, chip_id(decimal), hit_x, hit_y
0,121,622,112
0,121,623,112
0,121,623,113
0,121,622,113
0,121,623,114
0,121,624,113
0,377,619,170
0,377,619,171
0,377,620,169
0,377,620,170
0,377,621,170
0,377,620,171
0,633,613,222
0,633,613,223
0,633,615,221
0,633,614,221
0,633,614,222
0,633,615,222
0,633,615,223
0,633,614,223
0,633,615,224
0,633,616,222
0,633,617,223
0,633,616,223
0,633,616,224
1,114,941,413
1,114,940,413
1,114,940,414
1,114,941,414
1,114,941,415
1,114,940,415
1,370,939,368
1,370,939,369
1,370,938,369
1,370,939,370
1,370,940,369
1,370,940,370
1,626,939,317
1,626,938,317
1,626,938,318
1,626,939,318
1,626,939,319
1,626,938,319
2,114,841,175
2,114,840,175
2,114,840,176
2,114,841,176
2,114,841,177
2,114,840,177
2,370,844,124
2,370,845,124
2,370,845,125
2,370,844,125
2,370,846,124
2,370,846,125
2,626,847,74
2,626,847,75
2,626,847,76
2,626,848,75
3,115,197,124
3,115,197,125
3,115,196,125
3,115,196,126
3,115,197,126
3,115,197,127
3,115,198,125
3,115,198,126
3,371,203,76
3,371,203,77
3,371,202,77
3,371,202,78
3,371,203,78
3,371,204,76
3,371,204,77
3,371,204,78
3,627,211,29
3,627,210,29
3,627,210,30
3,627,211,30
3,627,211,31
3,627,210,31
3,627,212,30
4,115,89,58
4,115,90,57
4,115,90,58
4,115,90,59
4,633,925,53
4,633,925,54
4,633,925,55
4,633,926,53
4,633,926,54
4,633,926,55
5,114,837,399
5,114,837,400
5,114,838,398
5,114,839,398
5,114,839,399
5,114,838,399
5,114,838,400
5,114,839,400
5,114,840,399
5,370,837,347
5,370,838,346
5,370,839,346
5,370,839,347
5,370,838,347
5,370,838,348
5,370,839,348
5,626,835,294
5,626,837,293
5,626,836,293
5,626,836,294
5,626,837,294
5,626,837,295
5,626,836,295
5,632,52,136
6,115,359,237
6,115,358,238
6,115,359,238
6,115,359,239
6,115,358,239
6,115,359,240
6,115,360,237
6,115,360,238
6,115,361,238
6,115,361,239
6,115,360,239
6,371,364,176
6,371,365,176
6,371,365,177
6,371,364,177
6,371,364,178
6,371,365,178
6,371,366,177
6,627,369,117
6,627,368,117
6,627,368,118
6,627,369,118
6,627,369,119
7,114,585,297
7,114,585,298
7,114,585,299
7,114,586,297
7,114,586,298
7,114,586,299
7,370,579,223
7,370,579,224
7,370,580,223
7,370,580,224
7,370,581,224
7,370,580,225
7,626,571,140
7,626,571,141
7,626,572,139
7,626,572,140
7,626,573,140
7,626,573,141
7,626,572,141
8,122,71,101
8,122,70,101
8,122,70,102
8,122,71,102
8,122,71,103
8,122,70,103
8,378,69,157
8,378,68,157
8,378,68,158
8,378,69,158
8,634,67,210
8,634,67,211
8,634,66,211
8,634,67,212
8,634,68,211
9,115,333,228
9,115,335,227
9,115,334,227
9,115,334,228
9,115,335,228
9,115,334,229
9,371,337,169
9,371,336,169
9,371,336,170
9,371,337,170
9,371,337,171
9,371,338,170
9,627,337,110
9,627,337,111
9,627,336,111
9,627,336,112
9,627,337,112
9,627,337,113
9,627,336,113
9,627,338,111
9,627,338,112
10,115,155,173
10,115,155,174
10,115,156,172
10,115,157,173
10,115,156,173
10,115,156,174
10,115,157,174
10,371,159,121
10,371,158,121
10,371,158,122
10,371,159,122
10,371,159,123
10,371,158,123
10,371,160,121
10,371,160,122
10,371,161,122
10,371,160,123
10,627,157,71
10,627,157,72
10,627,157,73
10,627,159,71
10,627,158,71
10,627,158,72
10,627,159,72
10,627,158,73
11,115,133,267
11,115,133,268
11,115,133,269
11,115,134,267
11,115,134,268
11,115,134,269
11,371,129,215
11,371,130,214
11,371,131,214
11,371,131,215
11,371,130,215
11,627,127,162
11,627,127,163
11,627,126,163
11,627,127,164
11,627,128,162
11,627,128,163
11,627,128,164
12,115,255,258
12,115,255,259
12,115,255,260
12,115,256,258
12,115,257,259
12,115,256,259
12,115,256,260
12,371,261,202
12,371,261,203
12,371,260,203
12,371,260,204
12,371,261,204
12,371,262,203
12,371,262,204
12,627,265,148
12,627,265,149
12,627,265,150
12,627,266,148
12,627,267,149
12,627,266,149
12,627,266,150
13,121,849,185
13,121,848,186
13,121,849,186
13,121,849,187
13,121,850,185
13,121,850,186
13,121,850,187
13,377,841,242
13,377,841,243
13,377,842,242
13,377,842,243
13,627,22,109
13,633,835,299
13,633,835,300
13,633,835,301
13,633,836,299
13,633,836,300
13,633,837,300
13,633,836,301
14,121,949,0
14,121,949,1
14,121,950,1
14,377,951,47
14,377,951,48
14,377,951,49
14,377,952,47
14,377,952,48
14,377,952,49
14,633,955,93
14,633,954,94
14,633,955,94
14,633,955,95
14,633,954,95
14,633,956,94
14,633,956,95
15,121,553,17
15,121,554,16
15,121,555,17
15,121,554,17
15,121,554,18
15,121,555,18
15,377,543,77
15,377,543,78
15,377,545,77
15,377,544,77
15,377,544,78
15,377,545,78
15,377,545,79
15,377,544,79
15,633,539,145
15,633,540,144
15,633,540,145
15,633,540,146
16,121,719,77
16,121,719,78
16,121,720,76
16,121,721,77
16,121,720,77
16,121,720,78
16,121,721,78
16,377,713,133
16,377,713,134
16,377,715,133
16,377,714,133
16,377,714,134
16,377,715,134
16,377,714,135
16,633,709,189
16,633,708,189
16,633,708,190
16,633,709,190
16,633,709,191
16,633,708,191
17,114,916,278
17,114,917,278
17,114,917,279
17,114,916,279
17,114,916,280
17,114,917,280
17,370,911,228
17,370,911,229
17,370,910,229
17,370,911,230
17,370,912,228
17,370,912,229
17,370,912,230
17,626,913,181
17,626,913,182
17,626,915,181
17,626,914,181
17,626,914,182
17,626,915,182
17,626,914,183
18,114,941,454
18,114,941,455
18,114,940,455
18,114,941,456
18,114,942,455
18,370,943,400
18,370,943,401
18,370,942,401
18,370,943,402
18,370,944,400
18,370,944,401
18,370,944,402
18,626,940,350
18,626,941,350
18,626,941,351
18,626,940,351
18,626,940,352
18,626,941,352
19,114,917,189
19,114,916,190
19,114,917,190
19,114,917,191
19,114,916,191
19,114,918,190
19,114,918,191
19,370,919,131
19,370,919,132
19,370,919,133
19,370,921,131
19,370,920,131
19,370,920,132
19,370,921,132
19,370,920,133
19,626,919,71
19,626,918,72
19,626,919,72
19,626,919,73
19,626,918,73
19,626,919,74
19,626,921,71
19,626,920,71
19,626,920,72
19,626,921,72
19,626,921,73
19,626,920,73
19,626,920,74
19,626,921,74
20,122,35,90
20,122,35,91
20,122,35,92
20,122,36,90
20,122,36,91
20,122,36,92
20,378,31,147
20,378,31,148
20,378,31,149
20,378,32,147
20,378,32,148
20,378,33,148
20,378,32,149
20,634,30,200
20,634,31,200
20,634,31,201
20,634,30,201
20,634,30,202
20,634,31,202
21,114,725,420
21,114,727,419
21,114,726,419
21,114,726,420
21,114,727,420
21,114,726,421
21,370,723,358
21,370,723,359
21,370,725,357
21,370,724,357
21,370,724,358
21,370,725,358
21,370,725,359
21,370,724,359
21,370,724,360
21,626,719,301
21,626,718,301
21,626,718,302
21,626,719,302
21,626,719,303
21,626,720,301
21,626,720,302
22,114,652,194
22,114,653,194
22,114,653,195
22,114,652,195
22,114,652,196
22,114,653,196
22,370,654,142
22,370,655,142
22,370,655,143
22,370,654,143
22,370,654,144
22,370,655,144
22,370,656,142
22,370,657,143
22,370,656,143
22,370,656,144
22,626,661,87
22,626,660,88
22,626,661,88
22,626,661,89
22,626,662,88
23,122,13,81
23,122,13,82
23,122,15,81
23,122,14,81
23,122,14,82
23,122,15,82
23,122,14,83
23,378,11,139
23,378,11,140
23,378,12,138
23,378,13,138
23,378,13,139
23,378,12,139
23,378,12,140
23,378,13,140
23,634,9,200
23,634,10,200
23,634,11,200
23,634,10,201
24,121,799,53
24,121,798,53
24,121,798,54
24,121,799,54
24,121,799,55
24,121,800,53
24,121,800,54
24,121,800,55
24,377,791,112
24,377,791,113
24,377,792,112
24,377,792,113
24,627,22,109
24,633,784,172
24,633,785,172
24,633,785,173
24,633,784,173
24,633,784,174
24,633,785,174
25,114,547,355
25,114,546,355
25,114,546,356
25,114,547,356
25,114,547,357
25,114,548,355
25,114,548,356
25,370,549,300
25,370,549,301
25,370,549,302
25,370,550,300
25,370,551,301
25,370,550,301
25,370,550,302
25,626,553,245
25,626,552,246
25,626,553,246
25,626,553,247
25,626,552,247
25,626,554,246
26,115,171,453
26,115,170,454
26,115,171,454
26,115,171,455
26,115,170,455
26,115,171,456
26,115,172,453
26,115,172,454
26,115,173,454
26,115,173,455
26,115,172,455
26,115,172,456
26,115,173,456
26,371,179,401
26,371,179,402
26,371,179,403
26,371,180,401
26,371,180,402
26,371,181,402
26,371,180,403
26,627,185,347
26,627,185,348
26,627,185,349
26,627,186,347
26,627,186,348
26,627,187,348
26,627,186,349
27,115,11,483
27,115,10,483
27,115,10,484
27,115,11,484
27,115,11,485
27,115,10,485
27,115,12,483
27,115,12,484
27,115,12,485
27,371,13,423
27,371,12,424
27,371,13,424
27,371,13,425
27,371,12,425
27,371,13,426
27,371,14,423
27,371,14,424
27,371,15,424
27,371,15,425
27,371,14,425
27,371,14,426
27,627,15,363
27,627,14,363
27,627,14,364
27,627,15,364
27,627,14,365
28,114,687,251
28,114,687,252
28,114,688,250
28,114,689,251
28,114,688,251
28,114,688,252
28,114,689,252
28,370,689,199
28,370,689,200
28,370,689,201
28,370,690,199
28,370,690,200
28,370,690,201
28,626,691,148
28,626,692,147
28,626,692,148
28,626,693,148
28,626,692,149
29,115,5,329
29,115,6,328
29,115,7,329
29,115,6,329
29,115,6,330
29,371,1,276
29,371,1,277
29,371,0,277
29,371,1,278
29,371,1,279
29,371,2,276
29,371,3,277
29,371,2,277
29,371,2,278
29,371,3,278
29,626,1022,228
29,626,1023,228
29,626,1023,229
29,626,1022,229
29,626,1022,230
30,115,191,162
30,115,191,163
30,115,191,164
30,115,192,163
30,371,193,104
30,371,193,105
30,371,194,104
30,371,195,104
30,371,195,105
30,371,194,105
30,371,194,106
30,371,195,106
30,627,194,42
30,627,195,42
30,627,195,43
30,627,194,43
30,627,194,44
30,627,195,44
30,627,195,45
30,627,196,43
30,627,196,44
31,115,204,116
31,115,205,116
31,115,205,117
31,115,204,117
31,371,206,64
31,371,207,64
31,371,207,65
31,371,206,65
31,371,206,66
31,371,207,66
31,371,208,65
31,627,203,13
31,627,202,13
31,627,202,14
31,627,203,14
31,627,203,15
31,627,202,15
32,121,975,17
32,121,974,17
32,121,974,18
32,121,975,18
32,121,975,19
32,121,976,17
32,121,976,18
32,377,973,77
32,377,973,78
32,377,973,79
32,377,973,80
32,377,974,77
32,377,974,78
32,377,975,78
32,377,974,79
32,377,974,80
32,633,973,136
32,633,973,137
32,633,974,136
32,633,975,137
32,633,974,137
32,633,974,138
33,115,295,189
33,115,295,190
33,115,295,191
33,115,296,189
33,115,296,190
33,115,296,191
33,371,301,131
33,371,301,132
33,371,303,131
33,371,302,131
33,371,302,132
33,371,303,132
33,371,302,133
33,627,307,69
33,627,307,70
33,627,308,69
33,627,308,70
33,627,309,70
33,627,308,71
34,115,147,263
34,115,146,263
34,115,146,264
34,115,147,264
34,115,148,263
34,115,148,264
34,371,151,209
34,371,151,210
34,371,152,208
34,371,153,208
34,371,153,209
34,371,152,209
34,371,152,210
34,371,153,210
34,371,153,211
34,371,152,211
34,627,155,158
34,627,155,159
34,627,154,159
34,627,155,160
34,627,156,158
34,627,156,159
34,627,156,160
35,114,779,250
35,114,779,251
35,114,779,252
35,114,780,250
35,114,780,251
35,114,780,252
35,370,778,200
35,370,779,200
35,370,779,201
35,370,778,201
35,370,778,202
35,370,779,202
35,626,775,153
35,626,774,153
35,626,774,154
35,626,775,154
35,626,775,155
35,626,776,153
35,626,776,154
36,115,307,238
36,115,307,239
36,115,308,238
36,115,309,238
36,115,309,239
36,115,308,239
36,115,308,240
36,371,291,185
36,371,291,186
36,371,293,185
36,371,292,185
36,371,292,186
36,371,293,186
36,627,273,133
36,627,273,134
36,627,274,132
36,627,275,133
36,627,274,133
36,627,274,134
36,627,275,134
37,115,187,220
37,115,187,221
37,115,186,221
37,115,186,222
37,115,187,222
37,115,188,219
